Feature,Chi2_Score,P_Value
thomas,5.9365318682887604,0.9980746458369008
foo,5.935979918499548,0.9980758798428194
chill,5.935875888378485,0.9980761123540984
unalienable,5.934999547993916,0.9980780701136132
infeasible,5.934219102442144,0.9980798122965647
jensen,5.93393877933537,0.998080437750434
jan,5.933129652261334,0.9980822421492364
worth,5.932953656188964,0.9980826344501035
8500,5.932785722962017,0.9980830087185978
curse,5.932736635231793,0.9980831181080968
flickering,5.932679605655041,0.9980832451893057
megadrive,5.932606199817966,0.9980834087524181
ruu,5.932264342859685,0.9980841703316359
shafted,5.932243439653841,0.9980842168913254
sect,5.93204809144257,0.9980846519650064
bereans,5.931252092233386,0.998086423970997
h10,5.929425729153648,0.9980904847404009
spike,5.927851343573307,0.9980939797062593
daytona,5.927560654588341,0.9980946244426512
fatherland,5.927201264797802,0.9980954213126957
pierre,5.92651168623061,0.998096949556901
dome,5.9263931305683,0.998097212200827
biham,5.92625729254508,0.9980975130957114
seal,5.925676764171599,0.9980987985941855
grey,5.925152191724956,0.9980999595865246
designation,5.924258016304392,0.9981019372786673
aiken,5.923370931387561,0.9981038976556148
crane,5.920869123065624,0.9981094176719639
buds,5.920713269658323,0.9981097611213187
thunk,5.920002835455719,0.9981113260489529
077,5.9196207467553545,0.998112167274751
mt,5.918832025808705,0.9981139028115257
manipulate,5.918754376939667,0.9981140736042925
publishes,5.918156377663766,0.9981153885192179
ignore,5.917689631517396,0.9981164143158505
digitally,5.917493600528406,0.9981168450115117
hermes,5.91645408379201,0.9981191275915376
integer,5.916333638661616,0.9981193919223821
decrypting,5.915731551881105,0.9981207128247668
imagination,5.915056363801822,0.9981221932161803
flux,5.914387662019032,0.998123658463151
restricting,5.913539440967191,0.9981255157487735
ivan,5.912555497489114,0.9981276683662653
reserve,5.912306300275775,0.99812821323116
kenwood,5.9114207926279345,0.9981301483467817
inquirer,5.910690032445846,0.9981317440800784
unequivocally,5.91017626459133,0.9981328653207684
ref,5.909809380922992,0.9981336656725014
sentenced,5.909712141905397,0.9981338777519128
_without_,5.909130916672776,0.9981351450073641
pretends,5.9085069360495455,0.9981365047139843
overpriced,5.908464779731296,0.9981365965474586
slipping,5.9077988406173,0.9981380467495976
sx,5.907778707908235,0.9981380905780745
necessarilly,5.907609669579328,0.9981384585382251
incompatible,5.907535502811977,0.9981386199649246
toll,5.90655780069791,0.9981407469190776
grab,5.906252061675427,0.9981414116421166
nyt,5.905500459420562,0.9981430449283593
apologizing,5.904155472328613,0.9981459648062773
dependable,5.903785207564732,0.9981467679790458
programmers,5.903393292830371,0.9981476178102001
requires,5.9029824379375935,0.9981485083753293
gws,5.9022588061926555,0.9981500760764739
tip,5.902162894678632,0.9981502837825044
evans,5.901493884567353,0.9981517320703323
uga,5.900107475283879,0.9981547305006853
usn,5.899999715701283,0.9981549633919572
kampf,5.899837628778278,0.9981553136516558
mandatory,5.898460845683229,0.9981582866410643
proper,5.898270966186318,0.9981586963597486
51,5.897215293491776,0.998160972937284
yom,5.896772425464665,0.9981619273169218
regulars,5.895879233725709,0.9981638509329813
layout,5.895773641186144,0.9981640782346883
visuals,5.894540221518345,0.9981667316578422
gassed,5.894086698592109,0.9981677065348332
bulgarian,5.893387803821914,0.998169208039213
thinking,5.893238186369428,0.9981695293486267
alberta,5.892351476311962,0.9981714326640587
babble,5.892246569821024,0.9981716577397228
escorts,5.891850626344588,0.9981725070313819
nis,5.891680258451125,0.9981728723699295
hemi,5.891440014262419,0.9981733874521747
goods,5.89030240690488,0.9981758248925738
gzip,5.89004895121472,0.9981763675912945
1996,5.889520881994078,0.9981774978752286
xmapraised,5.888348702741498,0.9981800048067991
42bis,5.887929444363628,0.9981809007988155
lester,5.887566097956906,0.9981816770153664
stepping,5.887109821532067,0.9981826513813118
486dx50,5.886841352452008,0.9981832244937111
sponsor,5.886533664354122,0.9981838811500409
mas,5.885743091819734,0.9981855674857495
recommended,5.885586737653044,0.998185900848931
unsubstantiated,5.885533428783128,0.9981860144976805
