Configuration,Training CCR,Training F1,Testing CCR,Testing F1
tfidf_chi_svm,0.9075231579,0.9085203887,0.832858187,0.8343560746
tfidf_mut_svm,0.9141724742,0.914871972,0.8163428901,0.8181814107
tfidf_chi_nb,0.8354088396,0.831353554,0.8118991099,0.8070209304
tfidf_chi_rfc,0.9984744734,0.9984820368,0.8032102247,0.802579433
tfidf_mut_rfc,0.9998507628,0.999850763,0.7844400924,0.7835168733
tfidf_mut_nb,0.8166050517,0.8120008123,0.7831131815,0.7784752535
tfidf_none_svm,0.9915266969610831,0.9915325179540817,0.8812099509259188,0.8816980476406753
tfidf_none_rfc,0.9998507627679284,0.9998507630192874,0.8199245485121186,0.8189408799368012
tfidf_none_nb,0.8924005770994647,0.8902934859064662,0.8423429337334516,0.8391370306626342
